fio,admission_year,study_form,ct_score,certificate_score,total_score,specialty,address,phone
Варвара Болеславовна Прохорова,2021,Бюджет,69,8.1,150.0,Строительство,"г. Усть-Катав, пер. Павлика Морозова, д. 25 стр. 79, 682332",+7 793 866 39 71
Евдокия Семеновна Гордеева,2023,Целевая,68,7.3,141.0,Журналистика,"г. Мезень, пр. Ленинградский, д. 19, 822256",+78626382983
Кабанов Леонтий Валерианович,2021,Бюджет,50,6.2,112.0,Строительство,"д. Бавлы, ш. Поперечное, д. 6/3, 572052",+72171099507
Комиссаров Артем Устинович,2024,Целевая,65,6.3,128.0,Лингвистика,"клх Славгород, ш. Коллективное, д. 880, 332793",+7 (494) 557-1465
Панфил Харлампович Никифоров,2025,Бюджет,63,8.1,144.0,Строительство,"с. Углегорск, пер. Украинский, д. 772 стр. 483, 019979",+7 (740) 951-6600
Терентьев Любосмысл Жоресович,2023,Целевая,68,7.3,141.0,Информатика и вычислительная техника,"клх Онега, ул. Правды, д. 9/3, 491178",8 (876) 361-73-15
Комиссарова Марина Артемовна,2024,Целевая,47,7.2,119.0,Психология,"с. Ачхой Мартан, пер. Боровой, д. 90 стр. 206, 038110",8 (099) 512-6861
Регина Леоновна Федотова,2023,Целевая,58,7.0,128.0,Психология,"к. Шумиха, пер. Коллективный, д. 690 к. 449, 606657",8 098 403 67 89
Быкова Синклитикия Богдановна,2022,Целевая,57,7.9,136.0,Информатика и вычислительная техника,"г. Алагир, бул. З.Космодемьянской, д. 34, 646493",84909300156
Эмилия Кузьминична Овчинникова,2023,Платная,84,7.6,160.0,Юриспруденция,"г. Северо-Курильск, бул. Мичурина, д. 2 к. 9/3, 446216",80836662026
Варвара Степановна Селезнева,2023,Целевая,53,7.6,129.0,Лингвистика,"клх Верхний Тагил, ул. Славянская, д. 70, 350431",+7 163 505 03 27
Ираида Романовна Молчанова,2021,Платная,43,8.6,129.0,Медицина,"п. Сыктывкар, пер. Харьковский, д. 868 к. 8, 391650",+7 635 508 8578
Анжелика Ждановна Капустина,2024,Целевая,40,7.0,110.0,Лингвистика,"ст. Ирбит, алл. Олега Кошевого, д. 6/1, 638378",+7 062 247 7846
Фома Фёдорович Соколов,2022,Бюджет,60,7.6,136.0,Информатика и вычислительная техника,"ст. Вуктыл, ул. Запорожская, д. 841 стр. 8/8, 261599",+7 (618) 080-1799
Пахомов Николай Аксёнович,2021,Бюджет,58,7.1,129.0,Строительство,"д. Егорьевск, пер. Придорожный, д. 224 стр. 697, 014019",8 791 136 90 30
Зыков Рубен Валерьевич,2025,Бюджет,33,9.7,130.0,Менеджмент,"ст. Мичуринск, алл. Дружба, д. 907 к. 7, 761966",+7 784 909 6387
Назаров Софон Авдеевич,2022,Целевая,48,7.7,125.0,Медицина,"г. Вилюйск, пер. Ярославский, д. 9 стр. 1/1, 619686",+7 (556) 182-4973
Любим Теймуразович Белоусов,2024,Бюджет,58,7.0,128.0,Медицина,"п. Советский, ул. Тополиная, д. 1 стр. 3, 209322",+7 (923) 562-81-86
Ян Игоревич Носков,2025,Платная,47,6.3,110.0,Дизайн,"г. Каменск-Уральский, бул. Моховой, д. 57, 885925",+7 (813) 539-50-80
Кононов Фрол Адамович,2023,Бюджет,39,8.0,119.0,Медицина,"с. Шерегеш, алл. Черняховского, д. 1 стр. 96, 129102",+7 (214) 128-5663
Буров Никита Игнатьевич,2022,Бюджет,55,7.2,127.0,Юриспруденция,"клх Диксон, ш. Нефтяников, д. 9/6, 050351",8 (784) 164-4506
Сидорова Евпраксия Юрьевна,2023,Бюджет,43,8.0,123.0,Лингвистика,"с. Яр-Сале, алл. Гагарина, д. 33 стр. 8/9, 241683",8 (191) 960-55-85
Тихонов Аверьян Викентьевич,2025,Бюджет,53,8.5,138.0,Информатика и вычислительная техника,"ст. Ульяновск, ул. Сельская, д. 2 стр. 5/5, 975256",80962269093
Потапова Агата Ефимовна,2023,Бюджет,42,7.1,113.0,Экономика,"д. Кажим, пер. Горняцкий, д. 2/9, 262922",88889387165
Панова Анастасия Вадимовна,2023,Бюджет,60,8.2,142.0,Информатика и вычислительная техника,"с. Ишим, алл. Декабристов, д. 9/9, 115149",+7 (445) 124-82-11
Кошелев Ефрем Андреевич,2025,Целевая,74,8.1,155.0,Юриспруденция,"г. Чехов, алл. Космодемьянской, д. 31, 299907",84757037983
Андрон Изотович Силин,2022,Бюджет,37,7.7,114.0,Экономика,"клх Хабаровск, алл. Гафури, д. 9/6, 211323",82202988838
Калашников Ярополк Владиславович,2025,Целевая,77,6.6,143.0,Информатика и вычислительная техника,"г. Ухта, наб. Кооперативная, д. 8 к. 833, 279670",8 839 682 22 01
Быкова Василиса Тимуровна,2025,Бюджет,55,7.9,134.0,Журналистика,"клх Сочи, ул. Жданова, д. 31, 483012",+7 (732) 094-25-21
Егоров Федор Егорович,2023,Платная,36,7.5,111.0,Экономика,"д. Калач-на-Дону, наб. Пархоменко, д. 8 к. 7, 994022",+72869766373
Колобов Автоном Харламович,2024,Целевая,71,7.5,146.0,Медицина,"с. Арзамас, пер. Брянский, д. 5/3 к. 1/5, 103313",88677738101
г-н Уваров Елизар Дорофеевич,2021,Платная,19,7.6,95.0,Юриспруденция,"г. Бреды, ул. Театральная, д. 67, 275468",+7 583 514 9000
Фока Изотович Рогов,2021,Платная,66,8.2,148.0,Психология,"к. Кунгур, ул. Ореховая, д. 422, 170550",+7 628 445 60 47
Антонина Архиповна Потапова,2023,Целевая,61,6.0,121.0,Юриспруденция,"клх Юрьевец (Иван.), пер. Красных Партизан, д. 811 к. 364, 918922",8 366 599 61 76
Кириллова Тамара Петровна,2022,Бюджет,61,6.6,127.0,Юриспруденция,"д. Самара, алл. Радужная, д. 4, 010319",+7 (863) 074-4855
Жанна Вадимовна Артемьева,2025,Бюджет,53,8.3,136.0,Юриспруденция,"к. Усть-Ишим, бул. Стадионный, д. 5/8 стр. 98, 568348",+73535690633
Елисеева Галина Владимировна,2025,Бюджет,58,7.7,135.0,Строительство,"ст. Павловский Посад, пер. Вахитова, д. 8/5, 794750",+7 (086) 641-79-27
Лидия Геннадьевна Жданова,2024,Целевая,56,8.8,144.0,Дизайн,"ст. Морозовск, ул. Горная, д. 3 к. 4, 875209",+70013756619
Беспалова Лукия Матвеевна,2025,Целевая,59,6.8,127.0,Медицина,"к. Калач-на-Дону, пр. Брянский, д. 225 стр. 3/9, 507520",87664612941
Борисова Прасковья Александровна,2021,Бюджет,57,7.3,130.0,Журналистика,"ст. Байкальск, ул. Лазо, д. 1/2 стр. 9/1, 119958",+7 (933) 258-1529
тов. Козлова Клавдия Викторовна,2023,Платная,67,8.6,153.0,Строительство,"п. Абинск, наб. Февральская, д. 6 к. 21, 425707",+7 834 952 4963
Капустина Нинель Константиновна,2023,Платная,43,8.4,127.0,Дизайн,"д. Томари, бул. Клары Цеткин, д. 4/3 к. 48, 861048",+7 (312) 452-52-33
Станислав Ефимьевич Сергеев,2024,Бюджет,73,8.9,162.0,Лингвистика,"ст. Стрежевой, ул. Олега Кошевого, д. 8/4, 750358",8 473 818 1075
Дроздова Октябрина Петровна,2021,Бюджет,33,6.5,98.0,Медицина,"ст. Тура, пер. Больничный, д. 888 к. 905, 619170",+7 (137) 933-9631
Дроздов Митофан Харлампович,2022,Бюджет,35,7.2,107.0,Дизайн,"г. Смирных, пр. Крайний, д. 6/3 стр. 28, 264543",+71409251658
Панова Лора Яковлевна,2021,Целевая,54,8.2,136.0,Менеджмент,"д. Джубга, ул. Восьмого Марта, д. 8/9 к. 204, 086228",8 142 174 6918
Вадим Марсович Зимин,2022,Бюджет,28,6.4,92.0,Строительство,"д. Карпинск, пр. Космодемьянской, д. 574 стр. 63, 507594",+7 273 619 1801
Варвара Евгеньевна Михайлова,2023,Целевая,18,7.4,92.0,Информатика и вычислительная техника,"к. Алагир, бул. Красноярский, д. 7/9, 012459",+7 940 714 24 32
Миронова Вероника Станиславовна,2025,Бюджет,79,7.7,156.0,Журналистика,"ст. Елабуга, бул. Линейный, д. 6 стр. 6/1, 970328",+7 858 195 20 77
Рожков Тихон Харлампьевич,2022,Бюджет,63,7.0,133.0,Юриспруденция,"д. Каменномостский, наб. Павлика Морозова, д. 89 к. 5, 500609",8 (171) 996-9592
Бажен Иосифович Сидоров,2024,Целевая,60,8.0,140.0,Менеджмент,"к. Углегорск, ш. Красных Партизан, д. 597, 286093",+7 (257) 609-6221
Викентий Витальевич Рыбаков,2024,Платная,63,8.9,152.0,Экономика,"к. Подольск, ул. Городская, д. 3 к. 669, 103119",8 944 850 21 74
Журавлев Фома Игнатович,2021,Платная,50,8.6,136.0,Лингвистика,"п. Енисейск, ш. Боровое, д. 802, 548824",8 003 422 60 67
Милий Давыдович Дементьев,2023,Целевая,49,7.8,127.0,Экономика,"г. Клин, алл. Ленинградская, д. 41, 373669",84262021576
Терентьева Нонна Натановна,2023,Бюджет,71,5.8,129.0,Информатика и вычислительная техника,"клх Углич, пр. Свободы, д. 8, 526154",+7 (862) 083-38-54
Носова Антонина Эльдаровна,2024,Платная,66,7.5,141.0,Менеджмент,"клх Зарайск, алл. Матросова, д. 85 к. 3, 963778",+77178964725
Радован Гертрудович Федотов,2024,Платная,47,7.4,121.0,Информатика и вычислительная техника,"клх Киржач, пр. Вольный, д. 984 к. 8/6, 542981",84707022490
Татьяна Архиповна Князева,2023,Бюджет,50,6.7,117.0,Экономика,"ст. Кош-Агач, пр. Индустриальный, д. 5 стр. 2/7, 310607",+7 559 611 89 17
Гурий Иосифович Сысоев,2023,Бюджет,86,8.5,171.0,Психология,"д. Объячево, пр. Жукова, д. 4/8 к. 3, 954595",+7 (761) 221-93-87
Савва Евстигнеевич Иванов,2023,Платная,49,8.0,129.0,Лингвистика,"г. Грозный, наб. Казачья, д. 240, 734304",8 (237) 912-6174
Коновалов Вышеслав Алексеевич,2023,Бюджет,43,8.0,123.0,Информатика и вычислительная техника,"д. Курчатов, алл. Авиационная, д. 721 стр. 502, 351225",8 722 924 92 06
Агата Архиповна Сергеева,2022,Целевая,58,7.7,135.0,Лингвистика,"клх Минусинск, пр. Алтайский, д. 253, 072604",+7 (176) 202-7319
Никифоров Юлиан Антонович,2022,Платная,46,7.4,120.0,Менеджмент,"ст. Ялуторовск, ш. Логовое, д. 494 стр. 174, 287367",+7 942 992 2089
Еремей Александрович Рябов,2022,Бюджет,65,6.9,134.0,Юриспруденция,"д. Терней, ш. Халтурина, д. 1 стр. 85, 722500",+7 (873) 011-5617
Маркова Лукия Вениаминовна,2022,Платная,63,8.8,151.0,Юриспруденция,"к. Семлячики, бул. Зеленый, д. 8 стр. 249, 946457",81258163714
Ираида Викторовна Овчинникова,2025,Бюджет,74,6.6,140.0,Строительство,"к. Красноярск, наб. Волжская, д. 2, 738874",8 (777) 720-9553
Татьяна Робертовна Зиновьева,2022,Целевая,32,7.8,110.0,Журналистика,"ст. Усть-Катав, ул. Прудовая, д. 41 к. 24, 983149",8 (392) 791-6251
Устин Анисимович Николаев,2023,Целевая,36,8.5,121.0,Дизайн,"ст. Тотьма, пр. Репина, д. 7, 569451",+7 663 115 44 35
Тимофеева Ульяна Вадимовна,2024,Целевая,67,8.5,152.0,Строительство,"п. Волгодонск, пр. Кубанский, д. 77 к. 683, 939721",8 102 410 16 92
Некрасов Конон Игнатьевич,2024,Бюджет,50,7.1,121.0,Менеджмент,"с. Нижнеудинск, наб. Троицкая, д. 8, 954863",8 (615) 821-0604
Майя Юльевна Анисимова,2024,Платная,58,5.8,116.0,Лингвистика,"п. Биробиджан, наб. Репина, д. 944, 801976",8 (853) 892-19-73
Осипова Юлия Геннадиевна,2023,Платная,57,7.0,127.0,Медицина,"п. Киров (Вятка), бул. Ореховый, д. 2/2 к. 53, 090562",81733328499
Жанна Харитоновна Авдеева,2024,Платная,24,7.9,103.0,Экономика,"с. Голицыно, ул. Пушкинская, д. 355 к. 3, 120805",8 (163) 107-0900
тов. Савельева Наталья Федоровна,2022,Платная,23,6.1,84.0,Юриспруденция,"п. Ирбит, алл. Портовая, д. 741, 261609",+7 (602) 648-65-59
Красильникова Дарья Николаевна,2023,Бюджет,5,8.1,86.0,Дизайн,"ст. Мценск, ш. Одесское, д. 9/8 к. 1, 226406",+71521936623
Никифор Ааронович Никифоров,2022,Целевая,27,6.3,90.0,Медицина,"г. Тверь, алл. Нефтяников, д. 60 стр. 4/8, 078271",8 (696) 460-17-87
Шашков Константин Феоктистович,2021,Бюджет,68,7.7,145.0,Лингвистика,"г. Верхоянск, ул. Прохладная, д. 9, 145504",+7 404 705 13 79
Митофан Измаилович Богданов,2022,Бюджет,44,6.5,109.0,Юриспруденция,"ст. Биробиджан, пер. Коминтерна, д. 1/5 к. 6, 367532",+7 (678) 982-9771
Козлова Ирина Эльдаровна,2022,Бюджет,29,7.4,103.0,Медицина,"клх Моздок, пер. Горняцкий, д. 924 к. 3, 729146",+76554521525
Терентьева Евфросиния Павловна,2021,Бюджет,61,7.9,140.0,Строительство,"п. Петропавловск-Камчатский, ул. Казачья, д. 5 стр. 70, 649184",8 797 609 96 79
Мельников Лонгин Еремеевич,2024,Платная,33,8.3,116.0,Экономика,"к. Петрозаводск, наб. Студенческая, д. 2, 171660",88081632933
Иванна Ивановна Беляева,2023,Платная,42,7.7,119.0,Лингвистика,"к. Лянтор, ш. Нефтяников, д. 6/6 стр. 599, 566234",+7 (671) 805-0975
Пелагея Вадимовна Алексеева,2022,Бюджет,59,6.7,126.0,Строительство,"клх Тосно, наб. Лермонтова, д. 2 стр. 936, 588430",88159084718
Элеонора Валериевна Самсонова,2024,Целевая,84,7.5,159.0,Строительство,"д. Сосногорск, наб. Выгонная, д. 5/8 стр. 75, 410553",+7 342 659 70 21
Авдеева Кира Святославовна,2024,Платная,35,8.1,116.0,Лингвистика,"д. Сальск, пр. Лесный, д. 6, 161095",8 018 098 49 72
Мирослав Гертрудович Шарапов,2025,Целевая,60,7.5,135.0,Строительство,"ст. Хасан, ш. Тамбовское, д. 6, 829610",84130889688
Сазонов Михей Теймуразович,2022,Бюджет,34,7.8,112.0,Дизайн,"ст. Прохладный, наб. Полярная, д. 1/4 к. 7/7, 980840",81545428884
Панфил Глебович Зайцев,2025,Платная,61,6.8,129.0,Юриспруденция,"клх Мыс Шмидта, пр. Кольцевой, д. 7/5, 956688",+7 (574) 421-91-11
Бажен Гавриилович Павлов,2024,Целевая,62,7.3,135.0,Психология,"г. Сызрань, наб. Февральская, д. 732 к. 7, 471003",+72495892920
Любосмысл Жанович Самойлов,2025,Платная,54,6.6,120.0,Медицина,"ст. Таганрог, ш. Краснодарское, д. 458 к. 2/3, 770249",+7 081 576 43 72
Клавдия Вениаминовна Зимина,2025,Бюджет,62,6.9,131.0,Менеджмент,"д. Шатой, ул. Мусы Джалиля, д. 24 к. 599, 466537",+7 (630) 232-8330
Чернова Жанна Богдановна,2021,Целевая,52,8.2,134.0,Журналистика,"п. Слюдянка, бул. Л.Толстого, д. 4, 216597",8 320 530 37 42
Федоров Леонтий Васильевич,2023,Платная,81,6.8,149.0,Психология,"д. Верхний Баскунчак, пр. Монтажников, д. 7 к. 56, 167394",+72680054746
Татьяна Максимовна Исаева,2023,Целевая,78,6.6,144.0,Юриспруденция,"клх Елатьма, алл. Заводская, д. 4 стр. 6, 950710",8 (469) 209-81-65
Зимин Мариан Трофимович,2024,Бюджет,44,7.4,118.0,Менеджмент,"г. Рыльск, наб. Ленина, д. 5 стр. 41, 180812",+7 (608) 767-84-75
Пахомова Екатерина Макаровна,2024,Платная,55,6.7,122.0,Лингвистика,"к. Кырен, бул. Невского, д. 50, 975884",8 (608) 536-3899
Кондратьева Фёкла Андреевна,2021,Платная,33,7.8,111.0,Строительство,"клх Ногинск (Моск.), ш. Гражданское, д. 4/5, 363228",8 734 859 0119
Федорова Тамара Болеславовна,2024,Бюджет,47,8.3,130.0,Дизайн,"клх Чайковский, ш. Фабричное, д. 9 стр. 6, 021077",8 (874) 200-7313
Лонгин Алексеевич Корнилов,2022,Целевая,59,7.1,130.0,Дизайн,"к. Шатой, пер. Добролюбова, д. 3/1 к. 91, 339156",8 (475) 436-3565
Семен Ефимович Виноградов,2021,Целевая,27,6.6,93.0,Дизайн,"клх Снежногорск (Мурм.), ш. Марта 8, д. 1 к. 28, 618948",8 (172) 103-4126
Турова Нина Эдуардовна,2023,Бюджет,73,8.7,160.0,Менеджмент,"к. Верхний Баскунчак, наб. Курганная, д. 8 стр. 4/2, 303502",+7 (073) 969-73-39
Анастасия Валентиновна Рыбакова,2024,Целевая,56,9.0,146.0,Дизайн,"д. Шахты, пр. Микрорайон, д. 80 стр. 9, 695777",+7 (249) 524-29-82
Никанор Владленович Пестов,2022,Целевая,38,7.0,108.0,Экономика,"к. Шатки, пр. Молодежный, д. 3/8 к. 8/8, 710791",+7 816 273 0932
Лидия Альбертовна Мельникова,2024,Бюджет,78,6.9,147.0,Менеджмент,"д. Петушки, пер. Заводской, д. 9, 883127",8 (366) 106-9367
Горбунов Анатолий Владиленович,2022,Целевая,34,6.9,103.0,Юриспруденция,"к. Серпухов, наб. Буденного, д. 7 стр. 32, 136621",+76121317365
Поляков Аристарх Ильясович,2024,Бюджет,57,8.0,137.0,Психология,"д. Воскресенск, пр. Жданова, д. 6, 042698",80404520023
Сысоева Ольга Рубеновна,2023,Целевая,55,7.2,127.0,Менеджмент,"д. Поярково, пер. Королева, д. 1 стр. 5/4, 584074",+7 (979) 851-3273
Исакова Нина Константиновна,2022,Целевая,54,9.1,145.0,Юриспруденция,"г. Артем, пер. Профсоюзный, д. 161 стр. 5/7, 078617",+7 (451) 014-1640
Лихачев Никифор Александрович,2022,Платная,56,8.4,140.0,Менеджмент,"д. Хасан, пр. Коммуны, д. 24 к. 7, 404735",8 (511) 620-18-11
Захарова Анжелика Робертовна,2023,Целевая,43,6.0,103.0,Юриспруденция,"с. Лотошино, ул. ДОС, д. 48 стр. 33, 610568",+7 (423) 391-47-20
Одинцова Евдокия Ждановна,2024,Бюджет,66,6.7,133.0,Психология,"с. Кулунда, бул. Южный, д. 61 стр. 253, 104181",+7 (047) 471-81-07
Соловьева Эмилия Юрьевна,2025,Бюджет,56,8.2,138.0,Журналистика,"д. Кизилюрт, бул. Спартака, д. 91, 204235",80379986211
Максимова Варвара Святославовна,2024,Целевая,51,8.7,138.0,Лингвистика,"г. Северобайкальск, ул. Сиреневая, д. 48 стр. 244, 470133",8 589 904 1924
тов. Веселов Гурий Филимонович,2023,Целевая,59,6.6,125.0,Лингвистика,"г. Малгобек, наб. Водников, д. 2 к. 364, 851396",8 500 529 54 86
Евлампий Игнатович Лобанов,2021,Целевая,62,7.1,133.0,Экономика,"с. Пермь, бул. Высокий, д. 698, 572099",+7 593 928 23 32
Ефим Владиленович Титов,2024,Целевая,42,8.7,129.0,Информатика и вычислительная техника,"п. Южноуральск, ул. Мира, д. 570, 346373",+76882458975
Селиверст Гаврилович Шубин,2024,Целевая,33,6.8,101.0,Медицина,"п. Лянтор, ул. Урожайная, д. 52, 792051",8 271 916 40 84
Уварова Анна Кузьминична,2022,Бюджет,37,7.4,111.0,Менеджмент,"с. Пушкин, наб. Репина, д. 37, 849906",8 376 872 53 47
Алевтина Вениаминовна Ефремова,2025,Платная,53,6.8,121.0,Дизайн,"г. Юрьевец (Иван.), алл. Береговая, д. 47 стр. 7, 342752",8 (805) 796-14-80
Никандр Геннадиевич Кошелев,2022,Бюджет,63,7.4,137.0,Информатика и вычислительная техника,"ст. Орехово-Зуево, пр. Энергетический, д. 17 к. 8/4, 497667",+7 (782) 795-51-60
Остромир Артурович Исаков,2024,Целевая,58,6.3,121.0,Информатика и вычислительная техника,"с. Тулун, алл. Толбухина, д. 15, 090517",+7 (854) 377-0176
г-жа Панова Глафира Максимовна,2022,Платная,37,6.8,105.0,Психология,"с. Гатчина, ш. Иркутское, д. 8 к. 22, 618418",+7 (298) 318-3012
Варлаам Валентинович Галкин,2021,Платная,45,8.6,131.0,Экономика,"ст. Нижневартовск, пер. Народный, д. 45, 868134",+7 (449) 898-36-63
Третьякова Маргарита Андреевна,2021,Платная,29,6.8,97.0,Дизайн,"д. Тикси, ул. Победы, д. 3 к. 6, 967269",8 (336) 289-83-71
Гришина Майя Алексеевна,2022,Бюджет,47,7.8,125.0,Информатика и вычислительная техника,"г. Сасово, бул. Гаражный, д. 8/4, 335325",+7 347 461 14 48
Ситникова Милица Максимовна,2021,Бюджет,62,7.4,136.0,Юриспруденция,"д. Канск, наб. Запорожская, д. 306, 385561",+7 (006) 444-0829
Тарас Валерьянович Суханов,2021,Бюджет,40,7.7,117.0,Медицина,"клх Сургут (Хант.), бул. Кочубея, д. 9 стр. 4, 222630",+7 197 542 1941
Ираклий Евсеевич Белоусов,2022,Целевая,54,7.4,128.0,Медицина,"с. Хатанга, бул. Ивановский, д. 90 к. 1, 426028",8 615 132 6599
Ксения Николаевна Моисеева,2023,Платная,53,8.7,140.0,Юриспруденция,"п. Уэлен, алл. Дружбы, д. 25 стр. 63, 723513",+7 (894) 383-3578
Нонна Вадимовна Сысоева,2023,Бюджет,70,8.7,157.0,Психология,"п. Новомичуринск, ш. Дальневосточное, д. 57 стр. 9, 894300",+7 467 007 77 14
Комарова Прасковья Архиповна,2025,Целевая,23,7.5,98.0,Лингвистика,"к. Алдан, наб. Дачная, д. 8/8 к. 8, 911554",+7 978 404 64 18
Евсей Гордеевич Стрелков,2022,Бюджет,26,7.4,100.0,Дизайн,"г. Ростов, наб. Российская, д. 8/8 стр. 1/5, 931995",+7 (539) 545-24-76
Анжелика Михайловна Меркушева,2022,Бюджет,58,8.3,141.0,Дизайн,"ст. Петропавловск-Камчатский, ш. Заовражное, д. 523 стр. 563, 255353",+75533695392
Яковлева Раиса Борисовна,2023,Платная,62,7.0,132.0,Менеджмент,"п. Нарым, бул. Шолохова, д. 250 к. 891, 199132",83796300081
Сергеев Венедикт Геннадиевич,2021,Бюджет,57,8.0,137.0,Информатика и вычислительная техника,"ст. Королев, бул. Прибрежный, д. 83 к. 1, 979662",+7 391 849 0484
Шарапова Юлия Натановна,2023,Целевая,70,7.9,149.0,Экономика,"д. Вытегра, пер. Морской, д. 9/5, 680746",8 (452) 692-8855
Аскольд Тихонович Фролов,2025,Целевая,28,8.1,109.0,Информатика и вычислительная техника,"к. Южно-Курильск, наб. Заводская, д. 870, 758792",8 735 540 28 47
Варвара Архиповна Зайцева,2024,Платная,55,8.7,142.0,Юриспруденция,"к. Пинега, ш. Троицкое, д. 83, 360797",+73212367558
Белякова Ульяна Эльдаровна,2025,Платная,85,10.0,185.0,Юриспруденция,"к. Ессентуки, ул. Блюхера, д. 5, 974828",+7 182 296 21 42
Исаков Дмитрий Гавриилович,2022,Платная,64,6.7,131.0,Информатика и вычислительная техника,"д. Лянтор, пер. Леваневского, д. 96 стр. 9/6, 122462",+7 873 845 96 60
Никифорова Агата Эльдаровна,2021,Целевая,55,8.3,138.0,Дизайн,"д. Бийск, ш. Ветеранов, д. 4 стр. 1/1, 988879",+7 026 319 3463
Богдан Феофанович Голубев,2023,Целевая,62,6.9,131.0,Лингвистика,"клх Павловская, ш. Льва Толстого, д. 6 к. 5/1, 079750",+7 702 279 47 83
тов. Тихонова Марфа Матвеевна,2023,Целевая,42,7.0,112.0,Строительство,"ст. Находка, ул. Розы Люксембург, д. 81 стр. 570, 633414",85592018714
Агата Васильевна Кондратьева,2024,Целевая,41,10.0,141.0,Дизайн,"д. Ряжск, ул. Владимирская, д. 3, 700094",8 (667) 540-2883
Пахом Филимонович Игнатов,2024,Платная,55,7.7,132.0,Экономика,"г. Троицк (Моск.), алл. Шоссейная, д. 6 к. 9/6, 473453",8 (666) 245-0284
Кудряшова Валерия Егоровна,2022,Целевая,54,8.0,134.0,Медицина,"ст. Мураши, ул. Свободная, д. 1, 804868",+7 (624) 635-0457
Власов Селиверст Федосеевич,2022,Целевая,32,7.9,111.0,Медицина,"ст. Жуковский, наб. Химиков, д. 6 к. 1/9, 035731",8 922 059 9062
Тихонова Василиса Романовна,2022,Бюджет,69,7.7,146.0,Экономика,"п. Шуя, наб. Весенняя, д. 1 к. 9, 119276",+7 (893) 807-00-83
Герман Зиновьевич Харитонов,2022,Целевая,49,6.8,117.0,Психология,"п. Кызыл, бул. Сенной, д. 7 стр. 70, 981667",8 975 165 6694
Миронова Полина Святославовна,2025,Платная,61,6.3,124.0,Дизайн,"клх Нефтегорск (Самар.), алл. Парижской Коммуны, д. 1/1 к. 5/1, 903660",8 (290) 757-09-08
Анастасия Руслановна Большакова,2025,Бюджет,41,6.9,110.0,Юриспруденция,"г. Красноярск, пер. Российский, д. 7 к. 953, 998645",8 (753) 753-9646
Валерия Оскаровна Яковлева,2021,Бюджет,54,7.5,129.0,Юриспруденция,"г. Усинск, алл. Папанина, д. 9/3 стр. 792, 848661",8 915 859 65 73
Авдеев Ермил Федосеевич,2021,Бюджет,67,9.4,161.0,Медицина,"клх Усть-Баргузин, пер. Октября, д. 46, 841651",8 484 889 32 34
Соколова Ия Владимировна,2021,Целевая,55,6.5,120.0,Журналистика,"ст. Качканар, бул. Декабристов, д. 7 стр. 6/2, 571903",+7 (045) 149-76-33
Тамара Архиповна Молчанова,2024,Бюджет,60,6.8,128.0,Медицина,"с. Дербент, пр. Ручейный, д. 223, 412010",+7 430 857 1010
Лапина София Макаровна,2021,Платная,41,7.9,120.0,Дизайн,"г. Апрелевка, ул. Тупиковая, д. 7 к. 4, 122581",8 (491) 423-6724
Нинель Романовна Блохина,2024,Платная,23,7.4,97.0,Дизайн,"с. Нижнекамск, наб. Л.Толстого, д. 695 стр. 466, 004941",+7 (370) 521-6737
Агап Вячеславович Шашков,2023,Целевая,51,5.6,107.0,Юриспруденция,"г. Палана, ш. Урожайное, д. 5/8 к. 730, 698043",+7 796 837 13 58
Анастасия Олеговна Комарова,2025,Бюджет,58,9.6,154.0,Строительство,"с. Смоленск, пр. Седова, д. 6/5 стр. 9/6, 530249",+77636994528
Татьяна Наумовна Пестова,2021,Платная,4,6.9,73.0,Экономика,"п. Улан-Удэ, наб. Котовского, д. 20, 854934",8 (045) 230-65-42
Исаков Савва Антонович,2023,Платная,19,7.6,95.0,Журналистика,"д. Фатеж, пр. Коллективный, д. 9/4, 995620",8 (528) 969-0626
Сысоева Пелагея Яковлевна,2025,Платная,54,7.2,126.0,Журналистика,"п. Кемерово, пер. Маркса, д. 2 стр. 88, 295473",+7 401 304 56 89
Юлия Яковлевна Андреева,2022,Платная,64,9.5,159.0,Строительство,"с. Орехово-Зуево, пер. Журавлева, д. 2/8 к. 8/2, 830525",+7 (272) 549-7989
Богдан Устинович Воронов,2024,Целевая,39,6.9,108.0,Дизайн,"с. Дно, ул. Трактовая, д. 1/8 к. 8, 253152",+7 281 586 8966
Никанор Зиновьевич Михеев,2022,Платная,21,8.5,106.0,Экономика,"клх Кырен, бул. Проезжий, д. 94, 299219",8 (439) 917-6778
Майя Павловна Кондратьева,2022,Платная,70,7.4,144.0,Информатика и вычислительная техника,"д. Корсаков, ул. Солнечная, д. 554 к. 57, 480654",8 798 622 55 39
Аверьян Бенедиктович Агафонов,2025,Платная,40,8.3,123.0,Экономика,"ст. Камышлов, пр. Крупской, д. 3 стр. 9, 665087",8 (131) 515-28-04
Ермил Венедиктович Лукин,2025,Целевая,43,7.0,113.0,Информатика и вычислительная техника,"к. Быково (метеост.), бул. Карбышева, д. 4/8 стр. 123, 736799",+7 435 662 4536
Глафира Федоровна Гущина,2021,Бюджет,57,5.3,110.0,Дизайн,"с. Заводоуковск, алл. Баумана, д. 1/6 стр. 8/6, 383631",8 272 334 29 20
Моисеев Феоктист Феоктистович,2024,Платная,54,10.0,154.0,Информатика и вычислительная техника,"д. Королев, наб. Иркутская, д. 931 стр. 74, 032959",+7 991 682 7706
